seconds,time,air,beans,air_sp,power,power_sp,speed,coolfan_speed,stirrer_speed,pressure,pressure_fan_speed,pressure_sp,ror,ror_f,computed_air_ror,__filled,beans_clean,air_clean,beans_smooth,air_smooth
163.0,02:43,148.2,106.8,220,90,90,50,61,15616,100,20,100,9.9,178,5.4,0,106.8,148.2,106.77909502262503,148.28832579185604
164.0,02:44,148.5,107.1,220,90,90,50,61,15616,102,20,100,9.8,176,5.4,0,107.1,148.5,107.11828054298702,148.48090497737638
165.0,02:45,148.7,107.5,220,90,90,50,61,15616,101,19,100,9.7,175,5.4,0,107.5,148.7,107.4475113122178,148.67846153846236
166.0,02:46,148.9,107.8,220,90,90,50,61,15616,101,19,100,9.8,176,5.6,0,107.8,148.9,107.76995475113182,148.8819004524895
167.0,02:47,149.1,108.1,220,90,90,50,61,15616,99,19,100,9.8,176,5.7,0,108.1,149.1,108.08877828054358,149.09212669683342
168.0,02:48,149.3,108.4,220,90,90,50,61,15616,99,19,100,9.7,175,6.0,0,108.4,149.3,108.40036199095084,149.29619909502347
169.0,02:49,149.5,108.7,220,90,90,50,61,15616,100,19,100,9.6,173,6.1,0,108.7,149.5,108.71493212669743,149.50117647058906
170.0,02:50,149.7,109.0,220,90,90,50,61,15616,99,20,100,9.6,173,6.3,0,109.0,149.7,109.0227149321273,149.70705882353022
171.0,02:51,149.9,109.3,220,90,90,50,61,15616,98,20,100,9.6,172,6.3,0,109.3,149.9,109.33484162895988,149.90000000000083
172.0,02:52,150.1,109.6,220,90,90,50,61,15616,100,20,100,9.4,170,6.2,0,109.6,150.1,109.64244343891463,150.10000000000088
173.0,02:53,150.3,110.0,220,90,90,50,61,15616,101,20,100,9.4,169,6.1,0,110.0,150.3,109.95755656108659,150.30000000000086
174.0,02:54,150.5,110.3,220,90,90,50,61,15616,101,20,100,9.4,170,6.0,0,110.3,150.5,110.27927601810016,150.50000000000085
175.0,02:55,150.7,110.6,220,90,90,50,61,15616,100,19,100,9.4,169,5.9,0,110.6,150.7,110.58669683257979,150.70000000000084
176.0,02:56,150.9,110.9,220,90,90,50,61,15616,100,19,100,9.3,167,5.8,0,110.9,150.9,110.8927601809961,150.90000000000083
177.0,02:57,151.1,111.2,220,90,90,50,61,15616,100,19,100,9.3,167,5.8,0,111.2,151.1,111.19656108597347,151.10000000000085
178.0,02:58,151.3,111.5,220,90,90,50,61,15616,99,19,100,9.2,166,6.0,0,111.5,151.3,111.49719457013637,151.30000000000086
179.0,02:59,151.5,111.8,220,90,90,50,61,15616,100,20,100,9.1,164,6.1,0,111.8,151.5,111.79375565610923,151.50000000000085
180.0,03:00,151.7,112.1,220,90,90,50,61,15616,100,20,100,9.0,163,6.2,0,112.1,151.7,112.08533936651645,151.70705882353025
181.0,03:01,151.9,112.3,220,90,90,50,61,15616,101,19,100,9.0,163,6.2,0,112.3,151.9,112.38488687782868,151.90117647058906
182.0,03:02,152.1,112.7,220,90,90,50,61,15616,101,19,100,8.9,161,6.2,0,112.7,152.1,112.68533936651647,152.09619909502348
183.0,03:03,152.3,113.0,220,90,90,50,61,15616,100,19,100,9.0,161,6.1,0,113.0,152.3,112.98669683257981,152.29918552036284
184.0,03:04,152.5,113.3,220,90,90,50,61,15616,101,19,100,8.9,161,5.9,0,113.3,152.5,113.28895927601872,152.4971945701366
